,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,shortesttime,BEDS,BATHS,medianhouseholdincome,averagehouseholdincome,percapitaincome,highincomehouseholds,walk,price/psf,differential
102,Single Family Residential,731 Noe St,SAN FRANCISCO,94114,2500000,1512,2993.0,1909,23,3.0,2.0,155551,211933,105246,38.9%,90,1653.4391534391534,1414303.313381632
103,Multi-Family (2-4 Unit),3979-3981 24th St,San Francisco,94114,3950000,6000,2850.0,1904,23,2.0,3.0,155551,211933,105246,38.9%,90,658.3333333333334,-1485128.313905458
104,Multi-Family (2-4 Unit),15-17 States St,San Francisco,94114,2488000,2420,2604.0,1957,23,4.0,2.0,155551,211933,105246,38.9%,90,1028.099173553719,733606.2216710672
105,Single Family Residential,1723-1725 10th Ave,San Francisco,94122,1850000,2080,2996.0,1913,28,4.0,2.25,109607,139357,54038,21.5%,85,889.4230769230769,468717.25283556595
106,Condo/Co-op,1616 12th Ave,San Francisco,94122,1775000,2100,,2001,28,4.0,3.0,109607,139357,54038,21.5%,85,845.2380952380952,269670.3879300244
107,Single Family Residential,1551 31st Ave,San Francisco,94122,1295000,1450,2996.0,1930,28,2.0,1.0,109607,139357,54038,21.5%,85,893.1034482758621,303005.3469607141
108,Multi-Family (2-4 Unit),1383-1385 37th Ave,San Francisco,94122,1399000,2250,2063.0,1945,28,4.0,2.0,109607,139357,54038,21.5%,85,621.7777777777778,-112787.59245183645
109,Multi-Family (2-4 Unit),2033-2035 Judah St,San Francisco,94122,1699000,2500,2495.0,1948,28,4.0,4.0,109607,139357,54038,21.5%,85,679.6,-277584.98754416313
110,Condo/Co-op,188 Minna St Unit 27C,San Francisco,94105,2530000,1670,,2005,5,2.0,2.0,213009,255071,138902,52.5%,88,1514.9700598802394,808840.6300625082
111,Condo/Co-op,488 Folsom St #4006,San Francisco,94105,2150000,1142,,2019,5,2.0,2.0,213009,255071,138902,52.5%,88,1882.6619964973731,904761.9233861079
112,Condo/Co-op,488 Folsom #4701,San Francisco,94105,4295000,2159,,2019,5,3.0,3.0,213009,255071,138902,52.5%,88,1989.3469198703103,2172625.8526146132
113,Condo/Co-op,488 Folsom St #3703,San Francisco,94105,1825000,916,,2019,5,1.0,1.5,213009,255071,138902,52.5%,88,1992.35807860262,680506.4240624553
114,Condo/Co-op,301 Mission St Unit 6D,San Francisco,94105,900000,789,,2009,5,1.0,1.0,213009,255071,138902,52.5%,88,1140.6844106463877,-68062.19951950503
115,Condo/Co-op,280 Spear St Unit 17C,SAN FRANCISCO,94105,1800000,1255,,2020,5,2.0,2.0,213009,255071,138902,52.5%,88,1434.2629482071713,452144.09260021173
116,Condo/Co-op,318 Main St Unit 7G,San Francisco,94105,1250000,852,,2015,5,1.0,1.0,213009,255071,138902,52.5%,88,1467.1361502347418,223686.32214453968
117,Condo/Co-op,318 Main St Unit 4G,San Francisco,94105,1445000,1087,,2015,5,2.0,2.0,213009,255071,138902,52.5%,88,1329.346826126955,250379.8546067162
118,Condo/Co-op,425 1st St #5402,San Francisco,94105,3580000,1449,,2008,5,2.0,2.0,213009,255071,138902,52.5%,88,2470.6694271911665,2058588.899611285
119,Condo/Co-op,400 Beale St #2306,San Francisco,94105,1349000,1215,,2002,5,2.0,1.5,213009,255071,138902,52.5%,88,1110.2880658436213,100244.28307451471
120,Condo/Co-op,201 Folsom St Unit 27B,San Francisco,94105,1999000,1189,,2016,5,2.0,2.0,213009,255071,138902,52.5%,88,1681.2447434819176,711732.7727154114
121,Condo/Co-op,280 Spear St Unit 32E,SAN FRANCISCO,94105,4999000,2190,,2020,5,3.0,2.5,213009,255071,138902,52.5%,88,2282.648401826484,2907739.5040815715
122,Condo/Co-op,280 Spear St Unit 34A,SAN FRANCISCO,94105,2850000,1735,,2020,5,2.0,2.0,213009,255071,138902,52.5%,88,1642.6512968299712,1067056.868108956
123,Condo/Co-op,280 Spear St Unit 6J,SAN FRANCISCO,94105,1695000,1422,,2020,5,2.0,2.0,213009,255071,138902,52.5%,88,1191.9831223628692,195769.99574596225
124,Condo/Co-op,280 Spear St Unit 3Q,SAN FRANCISCO,94105,910000,638,,2020,5,1.0,1.0,213009,255071,138902,52.5%,88,1426.332288401254,76707.47629565978
125,Condo/Co-op,201 Folsom St Unit 41A,San Francisco,94105,9995000,5700,,2018,5,3.0,3.5,213009,255071,138902,52.5%,88,1753.5087719298247,4603738.105558559
126,Condo/Co-op,201 Folsom St Unit 41B,San Francisco,94105,7495000,5223,,2018,5,3.0,3.5,213009,255071,138902,52.5%,88,1434.9990426957688,2536106.0348967444
127,Condo/Co-op,333 Beale St Unit 3E,San Francisco,94105,2095000,1645,,2015,5,2.0,2.0,213009,255071,138902,52.5%,88,1273.5562310030396,394590.9561356313
128,Condo/Co-op,333 Beale St Unit 4C,San Francisco,94105,1268000,916,,2015,5,1.0,1.5,213009,255071,138902,52.5%,88,1384.2794759825329,124270.61081010732
129,Condo/Co-op,338 Main St Unit 7D,San Francisco,94105,1095000,880,,2016,5,1.0,1.0,213009,255071,138902,52.5%,88,1244.3181818181818,43115.18736230326
