SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,680 Sanchez St,San Francisco,CA,94114,3500000,3,3.0,Eureka Valley/Dolore,2152,2240,1909,5,1626,,Active,,,http://www.redfin.com/CA/San-Francisco/680-Sanchez-St-94114/home/1003991,San Francisco MLS,493802,N,Y,37.7582367,-122.430622
MLS Listing,,Vacant Land,1323 Cortland Ave,San Francisco,CA,94110,600000,,,Bernal Heights,,2374,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/1323-Cortland-Ave-94110/home/79880316,San Francisco MLS,493702,N,Y,37.740027,-122.411047
MLS Listing,,Single Family Residential,1325 Cortland Ave,San Francisco,CA,94110,1399000,2,2.0,Bernal Heights,1500,2374,1925,5,933,,Active,January-23-2020 05:00 PM,January-23-2020 06:30 PM,http://www.redfin.com/CA/San-Francisco/1325-Cortland-Ave-94110/home/762834,San Francisco MLS,493701,N,Y,37.7399673,-122.4109994
MLS Listing,,Condo/Co-op,1247 Harrison St #28,San Francisco,CA,94103,969000,1,1.5,South of Market,1083,,2004,5,895,647,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1247-Harrison-St-94103/unit-28/home/22885799,San Francisco MLS,493799,N,Y,37.7729233,-122.4088965
MLS Listing,,Condo/Co-op,60 Ora Way Unit H205,San Francisco,CA,94131,301316,0,1.0,Diamond Heights,480,,1975,5,628,565,Active,January-23-2020 05:00 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/60-Ora-Way-94131/unit-H205/home/1664677,San Francisco MLS,493774,N,Y,37.7410125,-122.4380016
MLS Listing,,Condo/Co-op,2001 McAllister St #101,San Francisco,CA,94118,1099000,2,2.0,North Panhandle,1003,,2002,5,1096,822,Active,January-26-2020 01:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/2001-McAllister-St-94118/unit-101/home/12399744,San Francisco MLS,493719,N,Y,37.7763812,-122.4456902
MLS Listing,,Condo/Co-op,301 Mission St Unit 6D,San Francisco,CA,94105,900000,1,1.0,Yerba Buena,789,,2009,5,1141,1670,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-6D/home/40142372,San Francisco MLS,493101,N,Y,37.7903824,-122.3961531
MLS Listing,,Single Family Residential,1348 Douglass St,San Francisco,CA,94131,1475000,3,2.0,Noe Valley,1651,2107,1947,5,893,,Active,January-25-2020 01:00 PM,January-25-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1348-Douglass-St-94131/home/1142988,San Francisco MLS,493770,N,Y,37.7455599,-122.4381538
MLS Listing,,Single Family Residential,1426 Underwood Ave,San Francisco,CA,94124,799000,3,2.0,Bayview,1596,3349,1940,5,501,,Active,January-23-2020 05:00 PM,January-23-2020 06:00 PM,http://www.redfin.com/CA/San-Francisco/1426-Underwood-Ave-94124/home/1430161,San Francisco MLS,493658,N,Y,37.728185,-122.388488
MLS Listing,,Condo/Co-op,752 Lake St,San Francisco,CA,94118,2250000,3,2.0,Lake,1755,,1911,5,1282,596,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/752-Lake-St-94118/unit-756/home/902950,San Francisco MLS,493749,N,Y,37.7867467,-122.4677362
MLS Listing,,Condo/Co-op,15 Jennings Ct,San Francisco,CA,94124,949000,3,2.0,Bayview Heights,1210,,1995,6,784,275,Active,,,http://www.redfin.com/CA/San-Francisco/15-Jennings-Ct-94124/home/743626,San Francisco MLS,493671,N,Y,37.717632,-122.397658
MLS Listing,,Single Family Residential,76 Cielito Dr,SAN FRANCISCO,CA,94134,998000,4,2.0,SAN FRANCISCO,1698,1999,1944,6,588,,Active,January-23-2020 05:00 PM,January-23-2020 07:00 PM,http://www.redfin.com/CA/San-Francisco/76-Cielito-Dr-94134/home/1836041,MLSListings,ML81779388,N,Y,37.7093939,-122.4222711
MLS Listing,,Single Family Residential,1683 Newcomb Ave,San Francisco,CA,94124,1199000,4,5.0,Bayview,2908,2500,1890,6,412,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/1683-Newcomb-Ave-94124/home/1074581,San Francisco MLS,493797,N,Y,37.7359772,-122.3915587
MLS Listing,,Condo/Co-op,460 Filbert #3,San Francisco,CA,94109,895000,1,1.0,Telegraph Hill,760,,,6,1178,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/San-Francisco/460-Filbert-St-94133/unit-3/home/1474284,San Francisco MLS,491393,N,Y,37.8019367,-122.4071922
