SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3238 Brunell Dr. + 3 lots,Oakland,CA,94602,1695000,4,2.0,East Oakl Hills,2092,64904,1942,99,810,,Active,,,http://www.redfin.com/CA/Oakland/3238-Brunell-Dr-94602/home/1833101,Bridge MLS,40885977,N,Y,37.8061326,-122.1869105
MLS Listing,,Single Family Residential,1573 Daniels Dr,San Leandro,CA,94577,999975,3,3.0,Estudillo Tract,2370,12012,1951,99,422,,Active,,,http://www.redfin.com/CA/San-Leandro/1573-Daniels-Dr-94577/home/792629,Bridge MLS,40885899,N,Y,37.7318932,-122.1353509
MLS Listing,,Vacant Land,Skyline Blvd,Oakland,CA,94603,300000,,,Oakland Hills,,23095,,100,,,Active,,,http://www.redfin.com/CA/Oakland/Skyline-Blvd-Unknown/home/22648144,Bridge MLS,40885864,N,Y,37.84298,-122.1964
MLS Listing,,Multi-Family (2-4 Unit),,Oakland,CA,94605,690000,4,2.0,Oakland,1800,4960,1945,100,383,,Active,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94605/home/564979,Bridge MLS,40885857,N,Y,37.7734182,-122.1786626
MLS Listing,,Vacant Land,0 Tunnel,Berkeley,CA,94705,499000,,,Berkeley,,19791,,102,,,Active,,,http://www.redfin.com/CA/Berkeley/Tunnel-Rd-94705/home/22663644,Bridge MLS,40885744,N,Y,37.852841,-122.235585
MLS Listing,,Vacant Land,0 Fontaine St,Oakland,CA,94605,195000,,,Oakland,,17707,,103,,,Active,,,http://www.redfin.com/CA/Oakland/Fontaine-St-94605/home/22720764,Bridge MLS,40885626,N,Y,37.761958,-122.157152
MLS Listing,,Townhouse,12 Covent Ln,Oakland,CA,94608,689000,2,1.5,Emeryville Bordr,1135,728,2005,104,607,216,Active,,,http://www.redfin.com/CA/Oakland/12-Covent-Ln-94608/home/17187297,Bridge MLS,40885435,N,Y,37.8220781,-122.2884602
MLS Listing,,Single Family Residential,4433 Fair Ave,OAKLAND,CA,94619,918000,4,3.0,OAKLAND,1536,5100,1920,109,598,,Active,,,http://www.redfin.com/CA/Oakland/4433-Fair-Ave-94619/home/1757619,MLSListings,ML81771403,N,Y,37.7903146,-122.1859793
MLS Listing,,Townhouse,403 Hiller Dr,OAKLAND,CA,94618,985000,4,2.5,OAKLAND,2103,2248,1994,110,468,185,Active,,,http://www.redfin.com/CA/Oakland/403-Hiller-Dr-94618/home/1946934,MLSListings,ML81771362,N,Y,37.853761,-122.2257246
MLS Listing,,Single Family Residential,9954 E St,Oakland,CA,94603,599000,4,2.0,Stonehurst,1575,4970,1943,110,380,,Active,January-26-2020 02:00 PM,January-26-2020 04:00 PM,http://www.redfin.com/CA/Oakland/9954-E-St-94603/home/1689371,Bridge MLS,40884677,N,Y,37.7398706,-122.1752924
MLS Listing,,Single Family Residential,2155 42 Ave,OAKLAND,CA,94601,815000,4,3.0,OAKLAND,1941,6090,1910,111,420,,Active,,,http://www.redfin.com/CA/Oakland/2155-42nd-Ave-94601/home/2013657,MLSListings,ML81771171,N,Y,37.7784564,-122.2098327
MLS Listing,,Single Family Residential,6705 Oakwood Dr,Oakland,CA,94611,1095000,4,2.5,Montclair,2848,9145,1977,112,384,,Active,,,http://www.redfin.com/CA/Oakland/6705-Oakwood-Dr-94611/home/1142743,Bridge MLS,40884438,N,Y,37.8422636,-122.2002565
MLS Listing,,Single Family Residential,6128 Marshall St,Oakland,CA,94608,1039000,4,2.5,Emeryville Borde,2000,7200,2007,112,520,,Active,,,http://www.redfin.com/CA/Oakland/6128-Marshall-St-94608/home/22811225,Bridge MLS,40884346,N,Y,37.844356,-122.284897
MLS Listing,,Single Family Residential,1818 Adeline St,Oakland,CA,94607,988000,2,1.0,West Oakland,960,6450,1890,119,1029,,Active,,,http://www.redfin.com/CA/Oakland/1818-Adeline-St-94607/home/676272,Bridge MLS,40883645,N,Y,37.812697,-122.284622
MLS Listing,,Single Family Residential,915 Grosvenor Pl,Oakland,CA,94610,1250000,6,4.5,Crocker Hghlands,4163,14870,2020,120,300,16,Active,,,http://www.redfin.com/CA/Oakland/915-Grosvenor-Pl-94610/home/1234409,Bridge MLS,40883448,N,Y,37.8074952,-122.2323954
MLS Listing,,Single Family Residential,2346 83Rd Ave,Oakland,CA,94605,450000,2,1.0,Eastmont Mall,963,6650,1940,124,467,,Active,,,http://www.redfin.com/CA/Oakland/2346-83rd-Ave-94605/home/1292475,Bridge MLS,40883082,N,Y,37.7603379,-122.1669992
MLS Listing,,Single Family Residential,3281 Martin Luther King Jr Way,Oakland,CA,94609,1199000,7,4.0,Oakland,3537,6407,1903,125,339,,Active,,,http://www.redfin.com/CA/Oakland/3281-Martin-Luther-King-Junior-Way-94609/home/169131437,Bridge MLS,40882562,N,Y,37.8226285,-122.2705063
MLS Listing,,Single Family Residential,6541 Bancroft Ave,Oakland,CA,94605,479500,2,1.0,Havenscourt,1124,2944,1976,125,427,,Active,,,http://www.redfin.com/CA/Oakland/6541-Bancroft-Ave-94605/home/572361,Bridge MLS,40882880,N,Y,37.7696677,-122.1836292
